"l_english":""
" blood_legacy_track_name0":"Кров"
" blood_legacy_track_desc0":"Уважний підбір пари, щоб народжувати найкращих спадкоємців"
" blood_legacy_1_name0":"Блакитна кров"
" blood_legacy_2_name0":"Близька спорідненість"
" blood_legacy_3_name0":"Сильна кров"
" blood_legacy_4_name0":"Витворений спадок"
" blood_legacy_5_name0":"Восьмидесятирічні"
" warfare_legacy_track_name0":"Військова справа"
" warfare_legacy_track_desc0":"Праведні війни з великими арміями, в яку входять навчені $knight_culture_player_plural_no_tooltip_lowercase$ і командири"
" warfare_legacy_1_name0":"Дім воїнів"
" warfare_legacy_2_name0":"Успадкована войовничість"
" warfare_legacy_3_name0":"Традиції зброєносців"
" warfare_legacy_4_name0":"Успадкована тактика"
" warfare_legacy_5_name0":"Приватна армія"
" law_legacy_track_name0":"Закон"
" law_legacy_track_desc0":"Достойне керування та справедливе правління в очах васалів та селянства"
" law_legacy_1_name0":"Здебільшого справедливо"
" law_legacy_2_name0":"Вірні магістрати"
" law_legacy_3_name0":"Сила і процвітання"
" law_legacy_4_name0":"Делеговані повноваження"
" law_legacy_5_name0":"Домашні маєтки"
" guile_legacy_track_name0":"Віроломність"
" guile_legacy_track_desc0":"Майстерність в потаємних справах та правлінні, що опирається на страх"
" guile_legacy_1_name0":"Зловісна репутація"
" guile_legacy_2_name0":"Довгі руки"
" guile_legacy_3_name0":"Природжені крутії"
" guile_legacy_4_name0":"Прощенний"
" guile_legacy_5_name0":"Сімейні зв'язки"
" erudition_legacy_track_name0":"Ерудиція"
" erudition_legacy_track_desc0":"Досвідчені гості, схвалення кліриків та здібні радники"
" erudition_legacy_1_name0":"Живий двір"
" erudition_legacy_2_name0":"Освячене правління"
" erudition_legacy_3_name0":"Цінні знання"
" erudition_legacy_4_name0":"Правовірні"
" erudition_legacy_5_name0":"Бюрократи"
" glory_legacy_track_name0":"Слава"
" glory_legacy_track_desc0":"Повага та відданість притягують людей"
" glory_legacy_1_name0":"Бажана пара"
" glory_legacy_2_name0":"Визнане ім'я"
" glory_legacy_3_name0":"Заслужена повага"
" glory_legacy_4_name0":"Напористі правителі"
" glory_legacy_5_name0":"Праведність"
" kin_legacy_track_name0":"Родина"
" kin_legacy_track_desc0":"Великі сім'ї, де всі допомагають та підтримують один одного"
" kin_legacy_1_name0":"Родюча утроба"
" kin_legacy_2_name0":"Старанна молодь"
" kin_legacy_3_name0":"Постійний догляд"
" kin_legacy_4_name0":"Міцні зв'язки"
" kin_legacy_5_name0":"Гідна старість"
" erudition_legacy_2_modifier_name0":"[GetDynastyPerk('erudition_legacy_2').GetName]"
" erudition_legacy_4_modifier_name0":"[GetDynastyPerk('erudition_legacy_4').GetName]"
