"l_english":""
" hinduism_religion0":"Індуїзм"
" hinduism_religion_adj0":"Індуїст"
" hinduism_religion_adherent0":"Індуїст"
" hinduism_religion_adherent_plural0":"Індуїсти"
" hinduism_religion_desc0":"Індуїзм - це дхарма, спосіб життя, який охоплює безліч богів і релігійних практик. Спільною є віра в сансару, нескінченний цикл безперервного відродження душі у світ, і мокшу, звільнення від цього циклу."
" hinduism_high_god_name0":"Брахман"
" hinduism_high_god_name_20":"$hinduism_high_god_name$ # Optional translation alt"
" hinduism_high_god_name_possessive0":"Брахмана"
" hinduism_high_god_shehe0":"Воно"
" hinduism_high_god_herselfhimself0":"Себе"
" hinduism_high_god_herhis0":"Це"
" hinduism_high_god_name_alternate0":"Всевишній"
" hinduism_high_god_name_alternate_possessive0":"Всевишнього"
" hinduism_good_god_brahma0":"Брахма"
" hinduism_good_god_vishnu0":"Вішну"
" hinduism_good_god_shiva0":"Шіва"
" hinduism_good_god_krishna0":"Крішна"
" hinduism_good_god_shakti0":"Шакті"
" hinduism_good_god_narayana0":"Нараяна"
" hinduism_good_god_ganesh0":"Ганеш"
" hinduism_good_god_surya0":"Сур'я"
" hinduism_devil_name0":"Віньяки"
" hinduism_devil_name_possessive0":"Віньякський"
" hinduism_devil_shehe0":"вони"
" hinduism_devil_herselfhimself0":"самі"
" hinduism_evil_god_vetalas0":"Ветали"
" hinduism_evil_god_pishachas0":"Пішачи"
" hinduism_evil_god_krodha0":"Кродха"
" hinduism_house_of_worship0":"храм"
" hinduism_house_of_worship_20":"$hinduism_house_of_worship$ # Optional translation alt"
" hinduism_house_of_worship_30":"$hinduism_house_of_worship$ # Optional translation alt"
" hinduism_house_of_worship_plural0":"храми"
" hinduism_religious_symbol0":"Ом"
" hinduism_religious_symbol_20":"$hinduism_religious_symbol$ # Optional translation alt"
" hinduism_religious_symbol_30":"$hinduism_religious_symbol$ # Optional translation alt"
" hinduism_religious_text0":"Веди"
" hinduism_religious_text_20":"$hinduism_religious_text$ # Optional translation alt"
" hinduism_religious_text_30":"$hinduism_religious_text$ # Optional translation alt"
" hinduism_religious_head_title0":"Свамі"
" hinduism_religious_head_title_name0":"Сампрадая"
" hinduism_devotee_male0":"саньясі"
" hinduism_devotee_male_plural0":"саньяси"
" hinduism_devotee_female0":"саньясіні"
" hinduism_devotee_female_plural0":"саньясіни"
" hinduism_devotee_neuter0":"саньяса"
" hinduism_devotee_neuter_plural0":"саньяси"
" hinduism_priest0":"пуджарі"
" hinduism_priest_plural0":"пуджари"
" hinduism_priest_term_plural0":"Брахмани"
" hinduism_bishop0":"свамі"
" hinduism_bishop_plural0":"свами"
" hinduism_divine_realm0":"Сумеру"
" hinduism_divine_realm_20":"$hinduism_divine_realm$ # Optional translation alt"
" hinduism_divine_realm_30":"$hinduism_divine_realm$ # Optional translation alt"
" hinduism_positive_afterlife0":"Сварга"
" hinduism_positive_afterlife_20":"$hinduism_positive_afterlife$ # Optional translation alt"
" hinduism_positive_afterlife_30":"$hinduism_positive_afterlife$ # Optional translation alt"
" hinduism_negative_afterlife0":"Нарака"
" hinduism_negative_afterlife_20":"$hinduism_negative_afterlife$ # Optional translation alt"
" hinduism_negative_afterlife_30":"$hinduism_negative_afterlife$ # Optional translation alt"
" hinduism_death_name0":"Яма"
" hinduism_death_name_possessive0":"Ями"
"":""
" hinduism_creator_god_name0":"Брахма"
" hinduism_creator_god_name_possessive0":"Брахми"
" hinduism_health_god_name0":"Ганга"
" hinduism_health_god_name_possessive0":"Ганги"
" hinduism_fertility_god_name0":"Гаятрі"
" hinduism_fertility_god_name_possessive0":"Гаятри"
" hinduism_wealth_god_name0":"Кубера"
" hinduism_wealth_god_name_possessive0":"Кубери"
" hinduism_household_god_name0":"Сантоши Маа"
" hinduism_household_god_name_possessive0":"Сантоши Маа"
